name,symbol,price,market_cap,market_cap_rank,total_volume,24h_change,7d_change,30d_change
Brett,brett,$0.110565,"$1,095,717,641",76.0,"$100,480,307",5.83%,23.72%,51.83%
Degen (Base),degen,$0.009269,"$157,873,893",331.0,"$24,431,987",7.95%,-6.30%,223.87%
Toshi,toshi,$0.000171,"$72,059,284",561.0,"$2,058,993",-4.58%,-5.44%,70.38%
Keyboard Cat (Base),keycat,$0.005926,"$59,260,783",624.0,"$2,886,593",10.84%,18.37%,854.74%
higher,higher,$0.034421,"$34,418,365",836.0,"$894,912",53.17%,157.12%,842.83%
mfercoin,mfer,$0.034259,"$34,306,310",840.0,"$5,535,267",5.52%,23.84%,283.00%
Basenji,benji,$0.026567,"$26,567,351",962.0,"$935,498",-0.01%,-6.68%,53.07%
doginme,doginme,$0.000355,"$23,880,278",1022.0,"$732,261",12.27%,56.32%,281.38%
Mister Miggles,miggles,$0.022996,"$22,075,537",1061.0,"$3,503,450",-0.34%,-13.40%,28.34%
Base God,tybg,$0.000179,"$22,052,580",1062.0,"$657,196",11.36%,91.01%,340.41%
NORMIE,normie,$0.019592,"$19,093,849",1126.0,"$644,598",5.98%,-3.74%,203.14%
Toby ToadGod,toby,$0.000000,"$14,295,375",1263.0,"$72,292",-12.89%,3.81%,125.88%
ChompCoin,chomp,$0.119872,"$11,231,153",1402.0,"$186,766",-4.70%,-1.71%,23.59%
Young Peezy AKA Pepe,peezy,$0.010553,"$10,552,570",1437.0,"$298,089",32.73%,560.41%,653.51%
Mochi,mochi,$0.000010,"$10,297,834",1451.0,"$153,513",4.78%,7.77%,15.30%
Based Chad,chad,$0.000148,"$10,296,919",1453.0,"$166,922",4.95%,124.41%,1868.32%
Andy,andy,$0.009679,"$9,678,784",1483.0,"$149,036",-3.75%,-24.87%,-9.71%
Bamboo on Base,bamboo,$0.009175,"$9,174,886",1506.0,"$14,264",-4.25%,-19.08%,-36.82%
Crash On Base,crash,$0.008384,"$8,017,841",1576.0,"$44,439",4.73%,15.63%,179.34%
Boomer,boomer,$0.006686,"$6,216,086",1722.0,"$834,751",-4.84%,37.59%,149.61%
WEWECOIN,wewe,$0.000054,"$5,400,593",1828.0,"$40,274",-12.92%,-29.75%,-57.11%
Weirdo,weirdo,$0.000064,"$4,445,671",1956.0,"$82,022",16.17%,37.12%,221.36%
Ski Mask Dog,ski,$0.003942,"$3,941,845",2030.0,"$230,353",-0.72%,47.82%,825.46%
Coinye West,coinye,$0.003859,"$3,393,819",2155.0,"$14,537",11.48%,75.05%,381.82%
CONDO,condo,$0.000311,"$3,107,825",2210.0,"$1,864",0.38%,-0.23%,115.88%
MAGA VP,mvp,$0.059030,"$2,638,499",2322.0,"$138,608",2.66%,6.56%,37.62%
Skull of Pepe Token,skop,$0.017576,"$2,636,327",2323.0,"$476,365",-0.41%,17.64%,-37.59%
BeeBase,bee,$0.000011,"$2,287,713",2426.0,$6,0.15%,6.70%,9.72%
Landwolf,wolf,$0.000000,"$2,058,344",2507.0,"$35,307",5.90%,8.17%,-2.22%
All Your Base,ayb,$0.000001,"$1,639,249",2684.0,"$26,001",-6.53%,66.09%,189.03%
Tadpole,tad,$0.002271,"$1,566,661",2719.0,"$78,039",1.33%,10.06%,7.29%
MUTATIO,flies,$2.830000,"$1,562,966",2722.0,"$3,929",2.75%,15.25%,34.12%
Basedmilio,based,$0.001544,"$1,543,941",2730.0,"$37,763",11.56%,105.84%,158.72%
TN100x,tn100x,$0.000591,"$1,442,638",2786.0,"$39,051",-3.00%,44.40%,142.65%
WoofWork.io,woof,$0.000178,"$1,405,757",2800.0,"$3,765",-0.79%,6.21%,15.70%
MOBY,moby,$0.000122,"$1,220,271",2931.0,"$208,390",-32.82%,-40.80%,-5.45%
Poncho,poncho,$0.119350,"$1,193,504",2951.0,"$16,243",9.81%,41.53%,139.63%
Beni,beni,$0.000873,"$865,591",3217.0,"$10,510",12.34%,-18.47%,95.78%
Carlo,carlo,$0.000836,"$836,338",3237.0,"$28,421",-7.19%,-16.03%,-8.83%
Briun Armstrung,briun,$0.001035,"$824,617",3251.0,"$28,263",-15.96%,3.81%,259.69%
MORK,mork,$0.000914,"$719,799",3349.0,"$18,487",82.52%,50.83%,-16.12%
AEROBUD,aerobud,$0.000709,"$709,233",3361.0,$932,0.82%,18.40%,30.37%
Anime,anime,$0.000684,"$683,553",3391.0,"$1,088",2.77%,3.03%,7.33%
Based Lambow,lambow,$0.000640,"$639,648",3434.0,"$24,036",-6.73%,43.48%,243.78%
ALF,alf,$0.000006,"$636,112",3436.0,"$14,470",-13.58%,-14.23%,107.91%
Boshi,boshi,$0.000613,"$603,947",3470.0,"$27,117",0.20%,66.13%,132.11%
Wild Goat Coin,wgc,$0.000087,"$604,031",3471.0,"$16,187",23.21%,49.46%,135.66%
Just a Black Rock on Base,rock,$0.000054,"$543,880",3560.0,"$1,755",1.96%,35.76%,56.91%
BERF,berf,$0.001162,"$487,952",3637.0,$415,3.21%,33.94%,31.90%
Workie,workie,$0.000472,"$472,191",3651.0,"$18,784",-4.12%,-7.96%,141.37%
BlockChainPeople,bcp,$0.020487,"$430,401",3722.0,"$16,224",7.19%,10.19%,51.80%
